player_id,playerName,numPasses
49876,Granit Xhaka,3716
70086,Nicol\u00e1s Hern\u00e1n Otamendi,3268
21315,Jorge Luiz Frello Filho,3136
38021,Kevin De Bruyne,3045
25726,Kalidou Koulibaly,2998
105339,Fernando Luiz Rosa,2972
3476,Ivan Rakiti\u0107,2914
14723,Toni Kroos,2851
48,Jan Vertonghen,2835
8277,Kyle Walker,2794
8317,David Josu\u00e9 Jim\u00e9nez Silva,2719
31528,N'Golo Kant\u00e9,2676
3346,Sergio Busquets i Burgos,2676
21171,Marek Ham\u0161\u00edk,2661
25553,C\u00e9sar Azpilicueta Tanco,2659
3269,Jordi Alba Ramos,2634
70122,Nemanja Mati\u0107,2586
210044,Eric  Dier,2581
3306,Sergio Ramos Garc\u00eda,2569
131959,,2536
3300,Ra\u00fal Albiol Tortajada,2412
3676,Asier Illarramendi Andonegi,2399
21385,Lorenzo Insigne,2398
14795,Mats  Hummels,2372
21001,Elseid G\u00ebzim Hysaj,2366
7936,Paul Pogba,2358
364860,Rodrigo Hern\u00e1ndez Cascante,2347
138408,Milan \u0160kriniar,2337
3341,Gerard Piqu\u00e9 Bernab\u00e9u,2336
7964,Jordan Brian Henderson,2328
3319,Mesut \u00d6zil,2322
3350,Francesc F\u00e0bregas i Soler,2285
54,Christian  Dannemann Eriksen,2269
15010,Dante Bonfim da Costa Santos,2223
3280,\u00c9ver Maximiliano David Banega,2221
20459,Leonardo Bonucci,2212
3443,Jorge Resurrecci\u00f3n Merodio,2196
333571,Lucas Torreira Di Pascua,2192
224593,Joshua Kimmich,2190
28292,Abdoulaye Doucour\u00e9,2165
3286,Daniel Parejo Mu\u00f1oz,2155
8287,Luka Modri\u0107,2152
14842,Kevin Vogt,2134
20811,Mat\u00edas Agust\u00edn Silvestre,2133
3353,Andr\u00e9s Iniesta Luj\u00e1n,2122
209117,Adrien Rabiot,2116
102,Marcelo Ant\u00f4nio Guedes Filho,2089
14922,Ricardo Iv\u00e1n Rodr\u00edguez Araya,2080
25393,Dejan Lovren,2075
70093,Jo\u00e3o Filipe Iria Santos Moutinho,2075
69968,Marcelo Brozovi\u0107,2073
340646,Benjamin Pavard,2066
49991,Remo Freuler,2056
8653,Harry  Maguire,2051
26307,A\u00efssa Mandi,2040
346195,Fabi\u00e1n Ruiz Pe\u00f1a,2036
257762,Davinson S\u00e1nchez Mina,2022
7965,Lucas  Pezzini Leiva,2017
7855,Laurent Koscielny,2004
167641,Stanislav Lobotka,1996
21097,Kamil Glik,1995
14716,J\u00e9r\u00f4me Boateng,1993
3276,Adil Rami,1981
62389,Aaron Mooy,1979
8306,Aleksandar Kolarov,1977
69400,Milan Badelj,1967
25397,Samuel Yves Umtiti,1967
3543,Borja Valero Iglesias,1964
3359,Lionel Andr\u00e9s Messi Cuccittini,1959
25541,Jordan Veretout,1957
15937,Diego Demme,1956
20443,Miralem Pjani\u0107,1955
21383,Marco Verratti,1939
14991,Matthias Ginter,1937
20461,Giorgio Chiellini,1931
20394,Thiago Emiliano da Silva,1914
40756,Carlos Henrique Casimiro,1898
25557,J\u00e9r\u00e9my Morel,1879
3563,Francisco Rom\u00e1n Alarc\u00f3n Su\u00e1rez,1877
14722,Luiz Gustavo Dias,1870
3463,Federico Juli\u00e1n Fazio,1870
15806,Jannik Vestergaard,1851
26508,Renaud Cohade,1847
3431,Jo\u00e3o Miranda de Souza Filho,1840
207143,F\u00e1bio Henrique Tavares,1837
231138,Presnel Kimpembe,1834
167145,H\u00e9ctor Beller\u00edn Moruno,1831
26120,Thomas Mangani,1830
20841,Andrea Masiello,1828
86328,Germ\u00e1n Alejandro Pezzella,1825
4303,David L\u00f3pez Silva,1822
8200,Steven N'Kemboanza Mike Christopher N'Zonzi,1821
22107,M\u00e1rio Rui Silva Duarte,1810
25707,Eden Hazard,1806
25437,Blaise Matuidi,1806
3310,Marcelo Vieira da Silva J\u00fanior,1797
265865,Sergej Milinkovi\u0107-Savi\u0107,1791
116349,Mat\u00edas Vecino Falero,1783
213308,J\u00fanior Osmar Ignacio  Alonso Mujica,1780
3802,Philippe Coutinho Correia,1778
7899,Oriol Romeu Vidal,1778
14687,Sokratis Papastathopoulos,1773
20612,Shkodran Mustafi,1771
26135,Maxime Le Marchand,1769
3334,Daniel Alves da Silva,1768
40726,Allan Marques Loureiro,1751
265366,Onyinye Wilfred Ndidi,1743
14778,\u00d6mer Toprak,1743
366401,Andr\u00e9-Frank Zambo Anguissa,1738
14748,Antonio R\u00fcdiger,1736
